City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ust-kuyga,70.02,135.6,54.82400000000001,47.0,100.0,3.2,RU,08-18-2020
kanepi,57.98,26.76,50.0,87.0,100.0,1.3,EE,08-18-2020
bluff,-46.6,168.33,46.65200000000008,59.0,100.0,1.34,NZ,08-18-2020
misawa,40.68,141.36,78.8,65.0,40.0,3.1,JP,08-18-2020
cabo san lucas,22.89,-109.91,84.99199999999999,70.0,5.0,1.61,MX,08-18-2020
mount gambier,-37.83,140.77,51.8,93.0,75.0,4.6,AU,08-18-2020
vestmannaeyjar,63.44,-20.27,53.096000000000046,92.0,98.0,2.31,IS,08-18-2020
guerrero negro,27.98,-114.06,75.434,70.0,0.0,7.99,MX,08-18-2020
jaora,23.63,75.13,75.84800000000003,93.0,100.0,5.63,IN,08-18-2020
cabra,37.47,-4.44,71.00600000000003,57.0,0.0,0.64,ES,08-18-2020
ushuaia,-54.8,-68.3,30.11000000000008,95.0,100.0,1.17,AR,08-18-2020
cape town,-33.93,18.42,51.008,76.0,20.0,3.6,ZA,08-18-2020
ola,59.58,151.28,59.504000000000055,66.0,100.0,2.24,RU,08-18-2020
hobart,-42.88,147.33,51.8,76.0,75.0,3.1,AU,08-18-2020
inirida,3.87,-67.92,73.99400000000007,96.0,95.0,0.94,CO,08-18-2020
souillac,-20.52,57.52,71.6,78.0,40.0,6.7,MU,08-18-2020
port elizabeth,-33.92,25.57,48.2,70.0,40.0,14.4,ZA,08-18-2020
san pedro,14.35,121.02,89.00600000000003,74.0,40.0,2.1,PH,08-18-2020
vaini,-21.2,-175.2,75.2,78.0,75.0,5.7,TO,08-18-2020
estelle,29.85,-90.11,87.99800000000002,100.0,75.0,2.5,US,08-18-2020
beni,0.5,29.47,62.24000000000002,100.0,100.0,0.75,CD,08-18-2020
pevek,69.7,170.31,39.74000000000002,87.0,99.0,4.64,RU,08-18-2020
basco,20.45,121.97,84.434,80.0,71.0,5.99,PH,08-18-2020
ribeira grande,38.52,-28.7,73.59800000000003,91.0,99.0,4.77,PT,08-18-2020
sitka,57.05,-135.33,60.8,72.0,90.0,2.1,US,08-18-2020
ambilobe,-13.2,49.05,65.89400000000008,73.0,5.0,1.3,MG,08-18-2020
airai,-8.93,125.41,72.80600000000003,46.0,0.0,2.76,TL,08-18-2020
norman wells,65.28,-126.83,60.8,59.0,75.0,5.1,CA,08-18-2020
puerto ayora,-0.74,-90.35,66.99199999999999,93.0,80.0,3.64,EC,08-18-2020
morros,-9.45,-46.3,75.65,41.0,36.0,2.44,BR,08-18-2020
akonolinga,3.77,12.25,68.64800000000002,97.0,100.0,1.39,CM,08-18-2020
kaitangata,-46.28,169.85,51.008,59.0,100.0,3.69,NZ,08-18-2020
busselton,-33.65,115.33,57.992,53.0,78.0,6.67,AU,08-18-2020
pareora,-44.49,171.21,50.0,77.0,89.0,1.34,NZ,08-18-2020
suntar,62.14,117.63,65.62400000000001,40.0,0.0,1.14,RU,08-18-2020
kosa,59.94,55.0,48.65,97.0,100.0,5.17,RU,08-18-2020
punta arenas,-53.15,-70.92,35.6,64.0,47.0,5.7,CL,08-18-2020
albany,42.6,-73.97,68.0,76.0,98.0,2.23,US,08-18-2020
thompson,55.74,-97.86,62.6,63.0,75.0,1.0,CA,08-18-2020
rikitea,-23.12,-134.97,72.12200000000004,74.0,35.0,3.68,PF,08-18-2020
kavieng,-2.57,150.8,84.092,71.0,2.0,4.07,PG,08-18-2020
severobaykalsk,55.65,109.32,58.02800000000006,59.0,0.0,1.09,RU,08-18-2020
wajid,3.81,43.25,72.42800000000007,54.0,88.0,7.39,SO,08-18-2020
ugoofaaru,5.67,73.0,82.79600000000005,71.0,100.0,2.53,MV,08-18-2020
lompoc,34.64,-120.46,69.8,73.0,1.0,6.2,US,08-18-2020
planaltina,-15.45,-47.61,77.0,47.0,0.0,1.5,BR,08-18-2020
yumen,40.28,97.2,74.80400000000006,19.0,0.0,2.86,CN,08-18-2020
ixtapa,20.7,-105.2,78.00800000000001,83.0,90.0,2.1,MX,08-18-2020
severo-kurilsk,50.68,156.12,55.148000000000025,83.0,97.0,3.59,RU,08-18-2020
chumikan,54.72,135.31,52.412000000000056,96.0,100.0,6.02,RU,08-18-2020
christchurch,-43.53,172.63,53.00600000000003,71.0,100.0,10.8,NZ,08-18-2020
odweyne,9.41,45.06,71.34800000000003,65.0,100.0,9.29,SO,08-18-2020
sinnamary,5.38,-52.95,78.566,81.0,100.0,4.54,GF,08-18-2020
